date, value,PE For month,Key,Avg P,Actual PE
4/9/07,1444.61,17.46,42007,1470.46,17.14922992
4/10/07,1448.39,17.46,42007,1470.46,17.19410299
4/11/07,1438.87,17.46,42007,1470.46,17.08108932
4/12/07,1447.8,17.46,42007,1470.46,17.18709899
4/13/07,1452.85,17.46,42007,1470.46,17.24704846
4/16/07,1468.33,17.46,42007,1470.46,17.43081438
4/17/07,1471.48,17.46,42007,1470.46,17.46820861
4/18/07,1472.5,17.46,42007,1470.46,17.48031721
4/19/07,1470.73,17.46,42007,1470.46,17.45930522
4/20/07,1484.35,17.46,42007,1470.46,17.62099073
4/23/07,1480.93,17.46,42007,1470.46,17.58039129
4/24/07,1480.41,17.46,42007,1470.46,17.57421827
4/25/07,1495.42,17.46,42007,1470.46,17.75240473
4/26/07,1494.25,17.46,42007,1470.46,17.73851545
4/27/07,1494.07,17.46,42007,1470.46,17.73637863
4/30/07,1482.37,17.46,42007,1470.46,17.59748579
5/1/07,1486.3,18.02,52007,1511.136818,17.72805531
5/2/07,1495.92,18.02,52007,1511.136818,17.84279923
5/3/07,1502.39,18.02,52007,1511.136818,17.91997108
5/4/07,1505.62,18.02,52007,1511.136818,17.95849736
5/7/07,1509.48,18.02,52007,1511.136818,18.00453806
5/8/07,1507.72,18.02,52007,1511.136818,17.98354541
5/9/07,1512.58,18.02,52007,1511.136818,18.04151376
5/10/07,1491.47,18.02,52007,1511.136818,17.78972122
5/11/07,1505.85,18.02,52007,1511.136818,17.96124072
5/14/07,1503.15,18.02,52007,1511.136818,17.92903609
5/15/07,1501.19,18.02,52007,1511.136818,17.90565791
5/16/07,1514.14,18.02,52007,1511.136818,18.06012088
5/17/07,1512.75,18.02,52007,1511.136818,18.04354146
5/18/07,1522.75,18.02,52007,1511.136818,18.16281788
5/21/07,1525.1,18.02,52007,1511.136818,18.19084784
5/22/07,1524.12,18.02,52007,1511.136818,18.17915875
5/23/07,1522.28,18.02,52007,1511.136818,18.15721189
5/24/07,1507.51,18.02,52007,1511.136818,17.98104061
5/25/07,1515.73,18.02,52007,1511.136818,18.07908583
5/29/07,1518.11,18.02,52007,1511.136818,18.10747362
5/30/07,1530.23,18.02,52007,1511.136818,18.25203665
5/31/07,1530.62,18.02,52007,1511.136818,18.25668843
6/1/07,1536.34,17.7,62007,1514.489524,17.95851356
6/4/07,1539.18,17.7,62007,1514.489524,17.99171076
6/5/07,1530.95,17.7,62007,1514.489524,17.89550903
6/6/07,1517.38,17.7,62007,1514.489524,17.73688722
6/7/07,1490.72,17.7,62007,1514.489524,17.4252544
6/8/07,1507.67,17.7,62007,1514.489524,17.62338554
6/11/07,1509.12,17.7,62007,1514.489524,17.64033481
6/12/07,1493,17.7,62007,1514.489524,17.45190566
6/13/07,1515.67,17.7,62007,1514.489524,17.71689877
6/14/07,1522.97,17.7,62007,1514.489524,17.80222959
6/15/07,1532.91,17.7,62007,1514.489524,17.91841977
6/18/07,1531.05,17.7,62007,1514.489524,17.89667794
6/19/07,1533.7,17.7,62007,1514.489524,17.9276542
6/20/07,1512.84,17.7,62007,1514.489524,17.68381846
6/21/07,1522.19,17.7,62007,1514.489524,17.79311205
6/22/07,1502.56,17.7,62007,1514.489524,17.56365397
6/25/07,1497.74,17.7,62007,1514.489524,17.50731225
6/26/07,1492.89,17.7,62007,1514.489524,17.45061986
